Unnamed: 0,question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
55,"On Friday , number0 people visited the zoo . number1 times as many people visited on Saturday than on Friday . How many people visited the zoo on Saturday ?","[1250,3]","[*,number0,number1]",3750.0,"[2,3,4,8,9,10,26,27,28]","On Friday , number0 people visited the zoo . number1 times as many people visited on Saturday than on Friday .",How many people visited the zoo on Saturday ?,,[],170,"On Friday, 1250 people visited the zoo. 

To find out how many people visited the zoo on Saturday, we need to multiply the number of people who visited on Friday by 3. 

So, we can calculate: $ 1250 \times 3 = 3750 $. 

Therefore, 3750 people visited the zoo on Saturday. 

#### 3750"
56,There are number0 pencils in the drawer . Mike placed number1 more pencils in the drawer . How many pencils are now there in total ?,"[41,30]","[+,number0,number1]",71.0,"[1,2,3,9,10,11,24,25,26]",There are number0 pencils in the drawer . Mike placed number1 more pencils in the drawer .,How many pencils are now there in total ?,,[],171,"To find the total number of pencils in the drawer, we need to add the initial number of pencils to the number of pencils Mike placed in the drawer.

The initial number of pencils in the drawer is 41.

Mike placed 30 more pencils in the drawer.

To find the total number of pencils, we add 41 and 30.

$ 41 + 30 = 71 $

Therefore, there are now 71 pencils in total in the drawer.

#### 71"
60,Sandy has number0 dozen books . Fred has number1 times more books than Sandy . How many books does Fred have ?,"[8,5]","[*,*,number0,12.0,number1]",480.0,"[1,2,3,7,8,9,20,21,22]",Sandy has number0 dozen books . Fred has number1 times more books than Sandy .,How many books does Fred have ?,,[],192,"Sandy has 8 dozen books, which means she has 8 * 12 = 96 books.
Fred has 5 times more books than Sandy, so he has 5 * 96 = 480 books.
Therefore, Fred has 480 books. 
#### 480"
65,"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?","[96,42,6]","[/,-,number0,number1,number2]",9.0,"[2,3,4,10,11,12,27,28,29,34,35,36]","The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",how many pies could they make ?,,[],198,"To find the number of pies that can be made, we need to divide the number of remaining apples by the number of apples needed for each pie.

First, we need to find the number of apples remaining after handing out 42 to students. We can do this by subtracting 42 from the total number of apples.

$ 96 - 42 = 54 $

So, there are 54 apples remaining.

Next, we need to divide the number of remaining apples by the number of apples needed for each pie, which is 6.

$ 54 \div 6 = 9 $

Therefore, they can make 9 pies.

#### 9"
66,"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are number0 ladybugs with spots and number1 ladybugs without spots . How many ladybugs are there in all ?","[12170,54912]","[+,number0,number1]",67082.0,"[21,22,23,26,27,28,36,37,38]","Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are number0 ladybugs with spots and number1 ladybugs without spots .",How many ladybugs are there in all ?,,[],199,"To find the total number of ladybugs, we need to add the number of ladybugs with spots to the number of ladybugs without spots.

Number of ladybugs with spots = 12170
Number of ladybugs without spots = 54912

To find the total number of ladybugs, we add these two numbers together:

12170 + 54912 = 67082

Therefore, there are 67082 ladybugs in total.

#### 67082"
67,"Lori has number0 marbles . If she shares them among number1 friends , how many marbles does each friend get ?","[30,5]","[/,number0,number1]",6.0,"[1,2,3,9,10,11,17,18,19]","Lori has number0 marbles . If she shares them among number1 friends ,",how many marbles does each friend get ?,,[],203,"To find out how many marbles each friend gets, we need to divide the total number of marbles (30) by the number of friends (5).

So, the calculation is:

$ 30 \div 5 = 6 $

Each friend will get 6 marbles.

#### The answer is 6."
69,"Edward was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work , how many good games did he end up with ?","[41,14,31]","[-,+,number0,number1,number2]",24.0,"[10,11,12,17,18,19,25,26,27,40,41,42]","Edward was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work ,",how many good games did he end up with ?,,[],242,"To find out how many good games Edward ended up with, we need to subtract the number of games that didn't work from the total number of games he bought.

Edward bought 41 games from his friend and 14 more at a garage sale, so the total number of games he bought is 41 + 14 = 55.

Out of these 55 games, 31 didn't work. 

To find the number of good games, we subtract the number of games that didn't work from the total number of games bought: 55 - 31 = 24.

Therefore, Edward ended up with 24 good games.

#### 24"
73,A dealer pays number0 dollars for a car . The dealer wants to make a profit that is number1 % of the selling price . For how much should the dealer sell the car ?,"[6000,25]","[*,number0,+,1.0,*,number1,0.01]",7500.0,"[2,3,4,17,18,19,31,32,33]",A dealer pays number0 dollars for a car . The dealer wants to make a profit that is number1 % of the selling price . For,how much should the dealer sell the car ?,,[],285,"To find the selling price of the car, we need to calculate the profit that the dealer wants to make and add it to the cost price.

Given:
Cost price = $6000
Profit percentage = 25%

Step 1: Calculate the profit amount.
Profit amount = (Profit percentage/100) * Cost price

Substituting the given values:
Profit amount = (25/100) * $6000

Step 2: Calculate the selling price.
Selling price = Cost price + Profit amount

Substituting the calculated profit amount and given cost price:
Selling price = $6000 + (25/100) * $6000

Step 3: Simplify the expression.
Selling price = $6000 + ($1500)

Step 4: Perform addition.
Selling price = $7500

#### 
The dealer should sell the car for $7500."
74,At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams how many people would be on each team ?,"[23,7,6]","[/,+,number0,number1,number2]",5.0,"[3,4,5,6,7,8,20,21,22,28,29,30]",At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams,how many people would be on each team ?,,[],292,"To find out how many people would be on each team, we need to divide the total number of people (managers and employees) by the number of teams.

The total number of people at the picnic is given as 23 managers + 7 employees = 30 people.

We need to divide this total by the number of teams, which is 6.

So, $ \frac{30}{6} = 5 $.

Therefore, there would be 5 people on each team.

#### 5"
75,Luke was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box . How many boxes did he have to use ?,"[39,19,4]","[/,-,number0,number1,number2]",5.0,"[10,11,12,13,14,15,23,24,25,35,36,37]",Luke was selling his old games . He started out with number0 but sold number1 of them . He packed the rest up putting number2 games into each box .,How many boxes did he have to use ?,,[],312,"To find the number of boxes Luke had to use, we need to determine how many games he had left after selling 19 of them and then divide that number by 4 (since he packed 4 games into each box).

Luke started with 39 games and sold 19 of them, so he had 39 - 19 = 20 games left.

To find the number of boxes, we divide the number of games left by the number of games in each box: 20 / 4 = 5.

Therefore, Luke had to use 5 boxes. 

#### 5"
76,"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?","[14,5,4]","[*,number2,-,number0,number1]",36.0,"[3,4,5,11,12,13,18,19,20,33,34,35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?,,[],315,"To find out how long it will take the builder to install the remaining windows, we need to determine how many windows are left to be installed and then calculate the total time required.

The number of windows left to be installed can be found by subtracting the number of windows already installed from the total number of windows needed. In this case, the total number of windows needed is 14 and the number of windows already installed is 5. So, the number of windows left to be installed is:

$14 - 5 = 9$

Now, we need to calculate the total time required to install these remaining 9 windows. Since it takes 4 hours to install each window, we can multiply the number of remaining windows by 4 to get the total time:

$9 \times 4 = 36$

Therefore, it will take the builder 36 hours to install the rest of the windows.

#### 36"
77,"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?","[12,3,4]","[*,number1,-,number0,number2]",24.0,"[4,5,6,13,14,15,22,23,24,33,34,35]","A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms ,",how much longer will he take to paint the rest ?,,[],316,"To find out how much longer the painter will take to paint the rest of the rooms, we need to calculate the total time it will take to paint all the rooms and subtract the time already spent.

The total time to paint all the rooms can be calculated by multiplying the number of rooms by the time it takes to paint each room. In this case, there are 12 rooms and each room takes 3 hours to paint, so the total time is $12 \times 3 = 36$ hours.

The time already spent painting 4 rooms can be calculated by multiplying the number of rooms already painted by the time it takes to paint each room. In this case, 4 rooms have already been painted and each room takes 3 hours to paint, so the time already spent is $4 \times 3 = 12$ hours.

To find out how much longer the painter will take to paint the rest of the rooms, we subtract the time already spent from the total time. So, the remaining time can be calculated as $36 - 12 = 24$ hours.

Therefore, the painter will take 24 hours longer to paint the rest of the rooms. 
#### 24"
78,Sean has number0 whistles . He has number1 more whistles that Charles . How many whistles does Charles have ?,"[45,32]","[-,number0,number1]",13.0,"[1,2,3,6,7,8,16,17,18]",Sean has number0 whistles . He has number1 more whistles that Charles .,How many whistles does Charles have ?,,[],321,"Let's denote the number of whistles Charles has as C. We know that Sean has 45 whistles, which is 32 more than Charles. 

So we can set up the equation: 
45 = C + 32

To find the value of C, we need to isolate it on one side of the equation. We can do this by subtracting 32 from both sides: 
45 - 32 = C + 32 - 32

This simplifies to: 
13 = C

Therefore, Charles has 13 whistles. 

#### 
13"
79,"If there are number0 erasers in a box and Patrick puts number1 more erasers inside , how many erasers are in the box ?","[76,9]","[+,number0,number1]",85.0,"[2,3,4,10,11,12,20,21,22]","If there are number0 erasers in a box and Patrick puts number1 more erasers inside ,",how many erasers are in the box ?,,[],322,"To find the total number of erasers in the box after Patrick puts 9 more erasers inside, we need to add the initial number of erasers in the box (76) to the additional 9 erasers.

So, the calculation is:

$ 76 + 9 = 85 $

Therefore, there are 85 erasers in the box. 

#### Answer: 85"
82,"Last Saturday , Marie sold number0 magazines and number1 newspapers . What is the total number of reading materials she sold ?","[425,275]","[+,number0,number1]",700.0,"[4,5,6,7,8,9,18,19,20]","Last Saturday , Marie sold number0 magazines and number1 newspapers .",What is the total number of reading materials she sold ?,,[],333,"To find the total number of reading materials Marie sold, we need to add the number of magazines she sold to the number of newspapers she sold.

The number of magazines Marie sold is 425.
The number of newspapers Marie sold is 275.

To find the total, we add these two numbers together:

$425 + 275 = 700$

Therefore, Marie sold a total of 700 reading materials.

#### 700"
83,Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums . How many pictures were in each album ?,"[41,37,2]","[/,-,number0,number1,number2]",2.0,"[1,2,3,8,9,10,18,19,20,27,28,29]",Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums .,How many pictures were in each album ?,,[],335,"To find out how many pictures were in each album, we can subtract the number of pictures in the first album from the total number of pictures Nancy uploaded. 

Total number of pictures uploaded = 41
Number of pictures in the first album = 37

To find the number of pictures in the other two albums, we can subtract the number of pictures in the first album from the total number of pictures uploaded.

Number of pictures in the other two albums = Total number of pictures uploaded - Number of pictures in the first album

Number of pictures in the other two albums = 41 - 37

Number of pictures in the other two albums = 4

Since the remaining pictures were divided into 2 different albums, we can divide the number of pictures in the other two albums by 2 to find out how many pictures were in each album.

Number of pictures in each album = Number of pictures in the other two albums / 2

Number of pictures in each album = 4 / 2

Number of pictures in each album = 2

Therefore, there were 2 pictures in each of the two different albums.

####"
84,Melanie picked number0 plums and number1 oranges from the orchard . She gave number2 plums to Sam . How many plums does she have now ?,"[7,4,3]","[-,number0,number2]",4.0,"[1,2,3,4,5,6,12,13,14,22,23,24]",Melanie picked number0 plums and number1 oranges from the orchard . She gave number2 plums to Sam .,How many plums does she have now ?,,[],336,"Melanie initially had 7 plums. She then gave 3 plums to Sam. To find out how many plums she has now, we can subtract the number of plums she gave away from the number of plums she initially had.

$ 7 - 3 = 4 $

Therefore, Melanie now has 4 plums. 

#### 4"
86,"The value of a sport utility vehicle this year is number0 dollars , which is number1 of what its value was last year . How much is the value of the vehicle last year ?","[16000,0.8]","[/,number0,number1]",20000.0,"[9,10,11,14,15,16,31,32,33]","The value of a sport utility vehicle this year is number0 dollars , which is number1 of what its value was last year .",How much is the value of the vehicle last year ?,,[],343,"Let's assume the value of the vehicle last year is represented by the variable $x$.

According to the information given, the value of the vehicle this year is 0.8 times the value of the vehicle last year. 

So we can write the equation: $0.8x = 16000$

To find the value of the vehicle last year, we need to solve for $x$.

Dividing both sides of the equation by 0.8, we get: $x = \frac{16000}{0.8}$

Simplifying the right side of the equation, we have: $x = 20000$

Therefore, the value of the vehicle last year is 20000 dollars.

#### 20000"
87,Joan decided to sell all of her old books . She gathered up number0 books to sell . She sold number1 books in a yard sale . How many books does Joan now have ?,"[33,26]","[-,number0,number1]",7.0,"[12,13,14,19,20,21,31,32,33]",Joan decided to sell all of her old books . She gathered up number0 books to sell . She sold number1 books in a yard sale .,How many books does Joan now have ?,,[],349,"To find out how many books Joan now has, we need to subtract the number of books she sold from the total number of books she had.

Total number of books Joan had = 33
Number of books Joan sold = 26

To find the number of books Joan now has, we subtract the number of books sold from the total number of books:

33 - 26 = 7

Therefore, Joan now has 7 books."
88,"John had number0 action figures , but needed number1 total for a complete collection . If each one costs number2 , how much money would he need to finish his collection ?","[5,7,5]","[*,number0,-,number1,number0]",10.0,"[1,2,3,7,8,9,19,20,21,29,30,31]","John had number0 action figures , but needed number1 total for a complete collection . If each one costs number2 ,",how much money would he need to finish his collection ?,,[],350,"To find out how much money John would need to finish his collection, we can calculate the cost of the additional action figures he needs.

John already has 5 action figures, and he needs a total of 7 for a complete collection. Therefore, he needs to buy 7 - 5 = 2 more action figures.

Since each action figure costs $5, John would need to spend 2 * $5 = $10 to finish his collection.

#### The amount of money John would need to finish his collection is $10."
90,Jesse starts with number0 pencils . He gives number1 to Joshua . How many pencils does Jesse end with ?,"[78,44]","[-,number0,number1]",34.0,"[2,3,4,7,8,9,16,17,18]",Jesse starts with number0 pencils . He gives number1 to Joshua .,How many pencils does Jesse end with ?,,[],355,"Jesse starts with 78 pencils. He gives 44 pencils to Joshua. To find out how many pencils Jesse ends with, we need to subtract the number of pencils he gave away from the number of pencils he started with.

Starting with 78 pencils, Jesse gives away 44 pencils.

$ 78 - 44 = 34 $

Therefore, Jesse ends with 34 pencils.

#### 34"
91,"Ella owns number0 dogs . Each day , number1 dog eats number2 scoop of dog food and the other dog eats number3 scoop . Together , how much dog food do the number4 dogs eat each day ?","[2,1,0.125,0.125,2]","[+,number2,number2]",0.25,"[1,2,3,7,8,9,10,11,12,20,21,22,31,32,33,34,35,36]","Ella owns number0 dogs . Each day , number1 dog eats number2 scoop of dog food and the other dog eats number3 scoop . Together ,",how much dog food do the number4 dogs eat each day ?,,[],357,"To find out how much dog food the two dogs eat each day, we need to add the amount of food each dog eats.

The first dog eats 0.125 scoop of dog food each day.
The second dog also eats 0.125 scoop of dog food each day.

To find the total amount of dog food eaten by the two dogs, we add these two amounts together.

0.125 + 0.125 = 0.25

Therefore, the two dogs eat a total of 0.25 scoop of dog food each day.

#### 0.25"
