,question,answer
10,"Bianca had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?","Bianca initially had 45 coloring books. If she gave away 6 of them, she would have 45 - 6 = 39 coloring books left.
After giving away 6 coloring books, she bought 20 more. So, she would have 39 + 20 = 59 coloring books in total.
Therefore, Bianca would have a total of 59 coloring books. 
#### 59"
11,"Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons . How many watermelons does Jessica have ?","Jessica initially had 35 watermelons. However, the rabbits ate 27 watermelons. To find out how many watermelons Jessica has left, we need to subtract the number of watermelons eaten by the rabbits from the initial number of watermelons.

35 - 27 = <<35 - 27 = 8>> 8

Therefore, Jessica has 8 watermelons left.

#### 8"
12,"Jazmin had number0 dolls and Geraldine had number1 dolls . If they put their dolls together , how many would they have ?","To find the total number of dolls Jazmin and Geraldine would have if they put their dolls together, we need to add the number of dolls each of them has.

Jazmin has 1209 dolls and Geraldine has 2186 dolls.

To find the total number of dolls, we add these two numbers:

 1209 + 2186 = << 1209 + 2186 = 3395 >> 3395 

Therefore, if Jazmin and Geraldine put their dolls together, they would have a total of 3395 dolls.
#### 3395"
13,"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?","To find out how many trips Jerry will make, we need to divide the total number of trays by the number of trays he can carry at a time.

First, we need to calculate the total number of trays Jerry needs to pick up. He needs to pick up 9 trays from one table and 7 trays from another table. 

To find the total number of trays, we can add the number of trays from each table: 9 + 7 = 16.

Next, we need to divide the total number of trays by the number of trays Jerry can carry at a time, which is 8.

To calculate the number of trips Jerry will make, we can use the formula: number of trips = total number of trays / number of trays per trip.

So, the number of trips Jerry will make is: 16 / 8 = 2.

Therefore, Jerry will make 2 trips to pick up all the trays.

#### 2"
14,Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,"To find out how many feet Mrs. Hilt will walk on her trips to the water fountain, we need to multiply the distance from her desk to the water fountain by the number of times she goes there.

The distance from her desk to the water fountain is given as 30 feet.

Mrs. Hilt goes to the water fountain 4 times today.

To calculate the total distance she walks, we can multiply the distance per trip by the number of trips:

 30 * 4 = << 30 * 4 = 120 >> 120 

Therefore, Mrs. Hilt will walk 120 feet on her trips to the water fountain today.
#### 120"
15,Christine wandered number0 miles at number1 miles per hour . How long did Christine wander ?,"To find out how long Christine wandered, we can use the formula:

Time = Distance / Speed

Given that Christine wandered 20 miles at a speed of 4 miles per hour, we can substitute these values into the formula:

Time = 20 miles / 4 miles per hour

Simplifying this expression, we have:

Time = 5 hours

Therefore, Christine wandered for 5 hours.

#### 5"
16,"Dana earns number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday . How much money did Dana earn in all ?","To find out how much money Dana earned in total, we need to calculate the total number of hours she worked and then multiply it by her hourly rate.

Dana worked 9 hours on Friday, 10 hours on Saturday, and 3 hours on Sunday. To find the total number of hours she worked, we can add these three numbers together.

 9 + 10 + 3 = << 9 + 10 + 3 = 22 >> 22 

So, Dana worked a total of 22 hours.

Now, we need to multiply the total number of hours (22) by her hourly rate (<<13) to find out how much money she earned in total.

>> 22 * 13 = 286 <<

Therefore, Dana earned >>286 in total.

#### 286"
17,"Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?","Nancy initially picked 12 carrots from her garden. She then threw out 2 of them, leaving her with 12 - 2 = 10 carrots. The next day, she picked an additional 21 carrots. To find the total number of carrots Nancy would have, we need to add the number of carrots she initially had (10) to the number of carrots she picked the next day (21). 

Therefore, Nancy would have a total of 10 + 21 = 31 carrots.

#### 31"
18,Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Paige have total ?,"To find the total number of winter clothing pieces Paige had, we need to multiply the number of boxes by the number of scarves and mittens in each box.

Number of boxes = 6
Number of scarves and mittens in each box = 5 + 5 = 10

Total number of winter clothing pieces = Number of boxes × Number of scarves and mittens in each box
                                      = 6 × 10

Calculating this expression, we get:

6 × 10 = 60

Therefore, Paige had a total of 60 pieces of winter clothing.
#### 60"
19,Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum . How many pieces did Todd have to start with ?,"Let's assume that Todd had x pieces of gum to start with. 
Steve gave him 16 more pieces of gum, so Todd now has x + 16 pieces of gum. 
We are given that Todd now has 54 pieces of gum, so we can set up the equation x + 16 = 54. 
To find the value of x, we can subtract 16 from both sides of the equation: x + 16 - 16 = 54 - 16. 
This simplifies to x = 38. 
Therefore, Todd had 38 pieces of gum to start with. 
#### 38"
20,Mary starts with number0 eggs . She finds another number1 . How many eggs does Mary end with ?,"Mary starts with 27 eggs. She finds another 4.

To find out how many eggs Mary ends with, we can add the number of eggs she starts with to the number of eggs she finds.

27 + 4 = <<27 + 4 = 31>> 31

Mary ends with 31 eggs.

#### 31"
21,A multi - national corporation has number0 part - time employees and number1 full - time employees . How many employees work for the corporation ?,"To find the total number of employees working for the corporation, we need to add the number of part-time employees and the number of full-time employees.

Given:
Number of part-time employees = 2041
Number of full-time employees = 63093

To find the total number of employees, we add the two numbers:

2041 + 63093 = <<2041 + 63093 = 65134>> 65134

Therefore, there are 65134 employees working for the corporation.

#### 65134"
22,You have number0 balloons and your friend has number1 balloons . How many more balloons do you have than your friend ?,"To find out how many more balloons I have than my friend, I need to subtract the number of balloons my friend has from the number of balloons I have.

I have 7 balloons and my friend has 5 balloons.

So, the calculation would be: <<7 - 5>>.

Simplifying this, we get: <<2>>.

Therefore, I have 2 more balloons than my friend.

#### 2"
23,"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?","To find the number of gallons of oil that leaked while the engineers were fixing the pipe, we need to subtract the amount of oil leaked before they started fixing it from the total amount leaked.

The amount of oil leaked before the engineers started fixing the pipe is given as 2475 gallons.

The total amount of oil leaked is given as 6206 gallons.

To find the amount of oil leaked while the engineers were fixing the pipe, we can subtract the amount leaked before they started from the total amount leaked:

6206 - 2475 = <<6206 - 2475 = 3731>> 3731

Therefore, 3731 gallons of oil leaked while the engineers were fixing the pipe.

#### 3731"
24,"Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken . How many unbroken seashells did Mike find ?","To find the number of unbroken seashells that Mike found, we need to subtract the number of broken seashells from the total number of seashells.

Total number of seashells = 6
Number of broken seashells = 4

To find the number of unbroken seashells, we can subtract the number of broken seashells from the total number of seashells:

Unbroken seashells = Total seashells - Broken seashells

Unbroken seashells = 6 - 4

Unbroken seashells = 2

Therefore, Mike found 2 unbroken seashells.

#### 2"
25,Each ticket costs number0 . How much do number1 tickets cost ?,"To find out how much 4 tickets cost, we can multiply the cost of one ticket by the number of tickets. 

The cost of one ticket is <<9. 

So, to find the cost of 4 tickets, we can multiply >>9 by 4. 

<<9 * 4 = 36. 

Therefore, 4 tickets cost >>36. 

#### 36"
26,"Recently , the value of Kate 's retirement fund decreased by number0 . If her fund was worth number1 before , how much is it worth now ?","To find out how much Kate's retirement fund is worth now after decreasing by 12, we can subtract 12 from the initial value of her fund.

Let's denote the current worth of Kate's retirement fund as <<x>>.

We know that the initial worth of her fund was 1472. So, we can set up the equation:

x = <<x = 1472 - 12>> 1472 - 12

Now, let's solve for <<x>>:

x = <<x = 1460>> 1460

Therefore, Kate's retirement fund is now worth 1460.

#### 1460"
27,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?","To find the total number of birds in the pet store, we need to calculate the number of birds in each cage and then multiply it by the total number of cages.

In each cage, there are 2 parrots and 6 parakeets. To find the total number of birds in one cage, we add the number of parrots and parakeets together:

2 + 6 = <<2 + 6 = 8>> 8

So, each cage has a total of 8 birds.

Now, we need to multiply this number by the total number of cages (which is 9) to find the total number of birds in the pet store:

8 * 9 = <<8 * 9 = 72>> 72

Therefore, the pet store has a total of 72 birds.

#### 72"
28,Mrs. Hilt bought an ice cream cone for number0 cents . How much would number1 ice cream cones cost ?,"To find out how much 2 ice cream cones would cost, we can multiply the cost of one ice cream cone by 2. 

 99 * 2 = << 99 * 2 = 198 >> 198 

Therefore, 2 ice cream cones would cost 198 cents. 

#### 198"
29,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?","To find the total number of birds in the pet store, we need to multiply the number of cages by the number of birds in each cage. 

Given that there are 6 bird cages and each cage has 6 parrots and 2 parakeets, we can calculate the total number of birds as follows:

Number of parrots = 6 cages * 6 parrots per cage = 36 parrots
Number of parakeets = 6 cages * 2 parakeets per cage = 12 parakeets

To find the total number of birds, we add the number of parrots and parakeets together:

Total number of birds = Number of parrots + Number of parakeets = 36 parrots + 12 parakeets = 48 birds

Therefore, the pet store has a total of 48 birds.

#### 48"
30,For Halloween Haley scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces . How many pieces of candy does Haley have now ?,"Haley initially had 33 pieces of candy. She ate 17 pieces the first night, so she had 33 - 17 = 16 pieces left.
Her sister then gave her 19 more pieces, so she now has 16 + 19 = 35 pieces of candy.
Therefore, Haley has 35 pieces of candy now. 
#### 35"
31,The Hawks scored number0 touchdowns worth number1 points each . How many points do they have ?,"To find the total number of points the Hawks have, we need to multiply the number of touchdowns by the number of points each touchdown is worth. In this case, the Hawks scored 3 touchdowns worth 7 points each. 

To calculate the total number of points, we can use the multiplication operation. 

 3 * 7 = << 3 * 7 = 21 >> 21 

Therefore, the Hawks have 21 points. 

#### 21"
32,Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,"To find the total number of pears picked by Sara and Tim, we need to add the number of pears each of them picked.

Sara picked 6 pears and Tim picked 5 pears. To find the total, we can add these two numbers together.

6 + 5 = <<6 + 5 = 11>> 11

Therefore, a total of 11 pears were picked in total.

#### 11"
33,"Each child has number0 bottle caps . If there are number1 children , how many bottle caps are there in total ?","Each child has 5 bottle caps. To find the total number of bottle caps, we need to multiply the number of children by the number of bottle caps each child has. 

So, the total number of bottle caps is <<9 * 5>>. 

Calculating this, we get <<45>>. 

#### 45"
34,"While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?","In the first half, Mike answered 3 questions correctly, and in the second half, he answered 5 questions correctly. Each question is worth 3 points. To find his final score, we need to calculate the total number of points he earned.

In the first half, Mike earned 3 * 3 = 9 points.
In the second half, Mike earned 5 * 3 = 15 points.

To find his final score, we add the points from the first half and the second half: 9 + 15 = 24.

Therefore, Mike's final score is 24. 
#### 24"
35,"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?","Initially, there were 7 friends playing the video game online. Each of them had 7 lives. So, the total number of lives they had was 7 * 7 = <<7 * 7 = 49>> 49.

Then, 2 more players joined the game. Since each player also has 7 lives, we need to add their lives to the total. 

The number of lives the additional players brought is 2 * 7 = <<2 * 7 = 14>> 14.

To find the total number of lives after the new players joined, we add the initial total (49) and the lives brought by the new players (14).

Therefore, the total number of lives they had after the new players joined is 49 + 14 = <<49 + 14 = 63>> 63. 

#### 63"
36,Anna starts with number0 candies . She gets number1 more from Larry . How many candies does Anna end with ?,"Anna starts with 5 candies. She gets 86 more from Larry. To find out how many candies Anna ends with, we need to add the number of candies she starts with to the number of candies she gets from Larry.

Starting with 5 candies, Anna gets an additional 86 candies from Larry. 

So, the total number of candies Anna ends with can be calculated as:

5 + 86 = <<5 + 86 = 91>> 91

Therefore, Anna ends with 91 candies.

#### 91"
37,"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them , how many more problems does she have to grade ?","The number of problems on each worksheet is given as 4. The teacher has already graded 5 worksheets out of a total of 9 worksheets. 

To find out how many more problems the teacher has to grade, we need to calculate the total number of problems on the remaining worksheets. 

The number of remaining worksheets can be found by subtracting the number of graded worksheets from the total number of worksheets: 9 - 5 = <<9 - 5 = 4>> 4.

Now, we can calculate the total number of problems on the remaining worksheets by multiplying the number of remaining worksheets by the number of problems on each worksheet: 4 * 4 = <<4 * 4 = 16>> 16.

Therefore, the teacher has to grade 16 more problems. 

#### 16"
38,Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many . How many bees did she see on the second day ?,"Let's solve the problem step by step:

1. Mrs. Hilt saw 144 bees in the hive.
2. The next day, she saw 3 times that many.
3. To find out how many bees she saw on the second day, we need to multiply the number of bees she saw on the first day (144) by 3.

Calculating this:
144 * 3 = <<144 * 3 = 432>> 432

Therefore, Mrs. Hilt saw 432 bees on the second day.

#### 432"
39,"Fred has number0 red balloons , Sam has number1 red balloons , and Dan has number2 red balloons . The balloons cost number3 dollars . How many red balloons do they have in all ?","To find the total number of red balloons that Fred, Sam, and Dan have, we need to add up the number of red balloons each person has.

Fred has 10 red balloons.
Sam has 46 red balloons.
Dan has 16 red balloons.

To find the total number of red balloons, we can add these quantities together:

10 + 46 + 16 = <<10 + 46 + 16 = 72>> 72

Therefore, they have a total of 72 red balloons. 

#### 72"
40,Evelyn starts with number0 Skittles . She shares number1 with Christine . How many Skittles does Evelyn end with ?,"Evelyn starts with 76 Skittles. She shares 72 with Christine. To find out how many Skittles Evelyn ends with, we need to subtract the number of Skittles she shared with Christine from the number she started with.

To do this, we can use the subtraction operation represented by the <<->> symbol.

So, the calculation would be:

<<76 - 72>>

Subtracting 72 from 76 gives us:

76 - 72 = <<76 - 72 = 4>> 4

Therefore, Evelyn ends with 4 Skittles.

#### 4"
41,Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes . How many dimes does Melanie have now ?,"To find out how many dimes Melanie has now, we need to add up the number of dimes she had initially, the number of dimes her dad gave her, and the number of dimes her mother gave her.

Melanie initially had 7 dimes.
Her dad gave her 8 dimes.
Her mother gave her 4 dimes.

To find the total number of dimes Melanie has now, we can add these three amounts together:

7 + 8 + 4 = <<7 + 8 + 4 = 19>> 19

Therefore, Melanie now has 19 dimes.

#### 19"
42,There are number0 bottle caps in each box . How many bottle caps are in number1 boxes ?,"To find the total number of bottle caps in 6 boxes, we need to multiply the number of bottle caps in one box by the number of boxes.

Given that there are 9 bottle caps in each box, we can represent this as:

<<9 * 6>>

Now, let's calculate the product:

9 * 6 = <<9 * 6 = 54>> 54

Therefore, there are 54 bottle caps in 6 boxes.

#### 54"
43,"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?","To calculate the total number of books Gwen has, we need to find the sum of the books on each shelf. 

Let's start with the mystery books. We know that she has 3 shelves of mystery books, and each shelf has 9 books. So the total number of mystery books can be calculated as <<3 * 9>>.

Next, let's consider the picture books. We know that she has 5 shelves of picture books, and each shelf has 9 books. So the total number of picture books can be calculated as <<5 * 9>>.

To find the total number of books, we can add the number of mystery books and the number of picture books. So the equation becomes <<(3 * 9) + (5 * 9)>>.

Now, let's simplify the equation. We can factor out 9 from both terms in the equation, which gives us <<9 * (3 + 5)>>.

The expression inside the parentheses simplifies to 8, so our equation becomes <<9 * 8>>.

Finally, let's calculate the answer. 9 * 8 = <<9 * 8 = 72>> 72.

#### 72"
44,Sara goes fishing with Melanie . Sara catches number0 trout . Melanie catches number1 times as many trout as Sara . How many trout did Melanie catch ?,"Let's denote the number of trout Sara catches as S>>. According to the problem, Sara catches 5 trout, so we have <<S = <<S>>. According to the problem, Sara catches 5 trout, so we have <<S = 5>> 5.

Melanie catches 2 times as many trout as Sara, which means Melanie catches 2S>> trout. Substituting the value of <<S>>, we get <<2 * 5 = <<2S>> trout. Substituting the value of <<S>>, we get <<2 * 5 = 10>> 10.

Therefore, Melanie caught 10 trout.

#### 10"
45,Cade had number0 marbles . He gave number1 to Dylan . How many does he have left ?,"Cade initially had 87 marbles. He gave 8 marbles to Dylan. To find out how many marbles Cade has left, we can subtract the number of marbles he gave away from the total number of marbles he had.

The calculation can be represented as:

<< 87 - 8 >>

Performing the subtraction:

 87 - 8 = << 87 - 8 = 79 >> 79 

Therefore, Cade has 79 marbles left.

#### 79"
46,Lucy has number0 fish . How many more fish does she need to buy to have number1 fish ?,"To find out how many more fish Lucy needs to buy, we can subtract the number of fish she already has from the desired total.

Let's denote the number of fish Lucy needs to buy as ""x"".

The equation representing this situation is:
212 + x = <<212 + x = 280>> 280

To solve for ""x"", we need to isolate it on one side of the equation. We can do this by subtracting 212 from both sides:
212 + x - 212 = <<212 + x - 212 = 280 - 212>> 280 - 212

Simplifying the equation gives us:
x = <<x = 68>> 68

Therefore, Lucy needs to buy 68 more fish to have a total of 280 fish.

#### 68"
47,Larry starts with number0 cards . number1 are eaten by a hippopotamus . How many cards does Larry end with ?,"Larry starts with 91 cards. 

Then, 17 cards are eaten by a hippopotamus. 

To find out how many cards Larry ends with, we need to subtract the number of cards eaten from the initial number of cards.

So, Larry ends with <<91 - 17>> cards.

Calculating this expression, we get:

91 - 17 = <<91 - 17 = 74>> 74

Therefore, Larry ends with 74 cards.

#### 74"
48,Carla has some marbles . She bought number0 marbles . Now she has number1 marbles all together . How many did she start with ?,"Let's assume that Carla started with X number of marbles.
Carla bought 489 marbles, so the total number of marbles she has after buying is X + 489.
Now, we are given that Carla has a total of 2778 marbles.
So, we can set up the equation: X + 489 = 2778.

To find the value of X, we need to isolate it on one side of the equation. We can do this by subtracting 489 from both sides of the equation:

X + 489 - 489 = 2778 - 489
X = 2289

Therefore, Carla started with 2289 marbles.

#### 2289"
49,Sam had number0 pennies and number1 nickels in his bank . His dad gave him number2 nickels and number3 quarters . How many nickels does he have now ?,"To find out how many nickels Sam has now, we need to add the initial number of nickels he had in his bank with the number of nickels his dad gave him.

Sam initially had 24 nickels.
His dad gave him an additional 39 nickels.

To find the total number of nickels, we can add these two quantities together:

24 + 39 = <<24 + 39 = 63>> 63

Therefore, Sam now has 63 nickels.

#### 63"
50,"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?","To find out how many 6-dollar games Mike can buy with the money he had left, we need to subtract the amount he spent on new mower blades from the total amount of money he made mowing lawns.

Total amount of money Mike made mowing lawns = <<101
Amount Mike spent on new mower blades = >>47

To find the amount of money Mike had left, we subtract the amount spent on new mower blades from the total amount made:

<<101 - >>47 = <<54

Now, we can determine how many 6-dollar games Mike can buy with >>54 by dividing the remaining amount by the cost of each game:

<<54 / >>6 = 9

Therefore, Mike can buy 9 six-dollar games with the money he had left.

#### 9"
51,There are number0 calories in a candy bar . How many calories are there in number1 candy bars ?,"To find the number of calories in 3 candy bars, we can multiply the number of calories in one candy bar by 3.

Let's denote the number of calories in one candy bar as ""x"". According to the information given, x = 8 calories.

To find the total number of calories in 3 candy bars, we can use the equation:

Total calories = x * 3

Substituting the value of x, we have:

Total calories = 8 * 3

Calculating this expression:

Total calories = 24

#### 24"
52,Gloria has number0 boxes of tickets . Each box holds number1 tickets and there are number2 boxes in a case . How many tickets does Gloria have ?,"To find out how many tickets Gloria has, we need to multiply the number of boxes by the number of tickets in each box.

First, we know that Gloria has 9 boxes of tickets. Each box holds 5 tickets. To find out how many tickets are in all the boxes, we can multiply the number of boxes by the number of tickets in each box:

9 * 5 = <<9 * 5 = 45>> 45

So, Gloria has a total of 45 tickets.

#### 45"
53,Joan 's cat had number0 kittens . She gave number1 to her friends . How many kittens does she have now ?,"Joan initially had 8 kittens. She then gave away 2 kittens to her friends. To find out how many kittens she has now, we can subtract the number of kittens given away from the initial number of kittens.

 8 - 2 = << 8 - 2 = 6 >> 6 

Therefore, Joan now has 6 kittens.

#### 6"
54,Each cup contains number0 ounces . How many ounces are in number1 cups ?,"To find out how many ounces are in 33 cups, we can use the concept of multiplication. Since each cup contains 8 ounces, we can multiply the number of cups by the number of ounces in each cup.

So, to calculate the total number of ounces in 33 cups, we can use the following equation:

 33 * 8 = << 33 * 8 = 264 >> 264 

Therefore, there are 264 ounces in 33 cups.

#### 264"
55,A spaceship traveled number0 light - year from Earth to Planet X and number1 light - year from Planet X to Planet Y . Then it traveled number2 light - year from Planet Y back to Earth . How many light - years did the spaceship travel in all ?,"To find the total distance traveled by the spaceship, we need to add up the distances traveled between each pair of locations.

The spaceship traveled 0.5 light-year from Earth to Planet X.
It then traveled 0.1 light-year from Planet X to Planet Y.
Finally, it traveled 0.1 light-year from Planet Y back to Earth.

To find the total distance, we add these distances together:

<<0.5 + 0.1 + 0.1>>

Calculating this expression gives us:

<<0.7>>

Therefore, the spaceship traveled a total of 0.7 light-years in all.

#### 0.7"
56,Isabel bought number0 pieces of paper . She used number1 pieces of the paper . How many pieces of paper does she have left ?,"To find out how many pieces of paper Isabel has left, we need to subtract the number of pieces she used from the total number of pieces she bought.

Total number of pieces Isabel bought = 900
Number of pieces Isabel used = 156

To find the number of pieces she has left, we can subtract the number of pieces used from the total number of pieces bought:

900 - 156 = <<900 - 156 = 744>> 744

Therefore, Isabel has 744 pieces of paper left.

#### 744"
57,Mary has number0 yellow marbles Joan has number1 yellow marbles . How many yellow marbles do they have in all ?,"Mary has 9 yellow marbles and Joan has 3 yellow marbles. To find out how many yellow marbles they have in total, we need to add the number of yellow marbles Mary has to the number of yellow marbles Joan has.

Let's represent the number of yellow marbles Mary has as M and the number of yellow marbles Joan has as J.

M = 9
J = 3

To find the total number of yellow marbles, we can add M and J:

M + J = 9 + 3

Now let's calculate the sum:

M + J = 12

Therefore, Mary and Joan have a total of 12 yellow marbles.

#### 12"
58,"A bee colony produced number0 pounds of honey , but bears ate number1 pounds of it . How much honey remains ?","To find out how much honey remains after the bears ate 0.05 pounds of it, we need to subtract the amount eaten from the initial amount produced.

The initial amount of honey produced is given as 0.36 pounds.
The amount eaten by bears is given as 0.05 pounds.

To find the remaining amount of honey, we subtract the amount eaten from the initial amount produced:

0.36 - 0.05 = <<0.36 - 0.05 = 0.31>> 0.31

Therefore, there are 0.31 pounds of honey remaining.

#### 0.31"
59,Fred has number0 baseball cards . Melanie bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,"Fred initially has 5 baseball cards. Melanie bought 3 of Fred's baseball cards. To find out how many baseball cards Fred has now, we need to subtract the number of cards Melanie bought from the initial number of cards Fred had.

Initial number of cards Fred had: 5
Number of cards Melanie bought: 3

To find out how many baseball cards Fred has now, we can subtract the number of cards Melanie bought from the initial number of cards Fred had:

5 - 3 = <<5 - 3 = 2>> 2

Therefore, Fred now has 2 baseball cards.

#### 2"
