question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
Lisa rented number0 DVDs for number1 . How much did each DVD cost to rent ?,"[4,4,8]","[/,number1,number0]","1,2","[1,2,3,5,6,7,13,14,15]",Lisa rented number0 DVDs for number1 .,How much did each DVD cost to rent ?,,[],278,"To find out how much each DVD cost to rent, we can use simple division. We'll divide the total cost (4 dollars) by the number of DVDs (4) to find the cost per DVD.

$4 / 4 = 1$

Each DVD cost $1 to rent.

#### 1"
"If Benjamin skated number0 kilometers at number1 kilometers per hour , how long was Benjamin skating ?","[80,10]","[/,number0,number1]",8,"[2,3,4,5,6,7,13,14,15]","If Benjamin skated number0 kilometers at number1 kilometers per hour ,",how long was Benjamin skating ?,,[],282,"To find out how long Benjamin was skating, we can use the formula:

\[
\text{Time} = \frac{\text{Distance}}{\text{Speed}}
\]

In this case, the distance is 80 kilometers, and the speed is 10 kilometers per hour.

\[
\text{Time} = \frac{80}{10} = 8
\]

So, Benjamin was skating for 8 hours.

#### 8"
"Fred went to number0 basketball games this year , but missed number1 . He went to number2 games last year . How many basketball games did Fred go to in total ?","[36,35,11]","[+,number0,number2]",47,"[2,3,4,10,11,12,15,16,17,28,29,30]","Fred went to number0 basketball games this year , but missed number1 . He went to number2 games last year .",How many basketball games did Fred go to in total ?,,[],284,"To find out how many basketball games Fred went to in total, we can add up the games he attended this year and the games he attended last year.

This year, Fred went to 36 games, but he missed 35, which means he attended 36 - 35 = 1 game this year.

Last year, he went to 11 games.

To find the total number of games he attended in both years, we can add these two numbers together.

$1 + 11 = 12$

So, Fred went to a total of 12 basketball games in both years.

#### 12"
A dealer pays number0 dollars for a car . The dealer wants to make a profit that is number1 % of the selling price . For how much should the dealer sell the car ?,"[6000,25]","[*,number0,+,1.0,*,number1,0.01]",7500,"[2,3,4,17,18,19,31,32,33]",A dealer pays number0 dollars for a car . The dealer wants to make a profit that is number1 % of the selling price . For,how much should the dealer sell the car ?,,[],285,"To determine how much the dealer should sell the car for in order to make a 25% profit, we need to set up an equation. Let's denote the selling price as $S$.

The dealer's profit should be 25% of the selling price, which means:

Profit = 25% of $S$

25% can be expressed as a decimal by dividing by 100, so:

Profit = 0.25 * $S$

Now, to find the selling price that includes this profit, we need to add the profit to the cost price:

Selling Price = Cost Price + Profit
$S = $6000 + (0.25 * $S)$

To solve for $S$, we need to isolate $S$ on one side of the equation:

$S - 0.25 * $S = $6000

Now, combine like terms on the left side:

0.75 * $S = $6000

To isolate $S, divide both sides by 0.75:

$S = $6000 / 0.75

Now, calculate the selling price:

$S = 8000
#### 8000"
Mrs. Hilt has number0 markers . They are divided equally into number1 packages . Mrs. Hilt wants to know how many markers are in each package ?,"[40,7]","[/,number0,number1]",5,"[2,3,4,10,11,12,23,24,25]",Mrs. Hilt has number0 markers . They are divided equally into number1 packages . Mrs. Hilt wants to know,how many markers are in each package ?,,[],286,"To find out how many markers are in each package, we can divide the total number of markers (40) by the number of packages (7). 

$40 \div 7 = 5.71428571429$ (rounded to 11 decimal places)

So, each package contains approximately 5.71 markers.

#### 5.71"
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?","[9,3,2]","[*,number2,-,number0,number1]",12,"[3,4,5,11,12,13,26,27,28,33,34,35]","A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points ,",how many points were scored total ?,,[],290,"To find out how many points were scored in total, we can follow these steps:

1. Start with the total number of team members, which is 9.
2. Subtract the number of members who didn't show up, which is 3.
3. Multiply the remaining number of members (those who did show up) by the number of points each scored, which is 2.

Now, let's calculate it step by step:

1. 9 members total.
2. 9 - 3 (members who didn't show up) = 6 members showed up.
3. 6 members * 2 points each = 12 points scored in total.

So, the total number of points scored is 12.####12"
"Will was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?","[3,8,10]","[/,+,number1,number2,number0]",6,"[9,10,11,17,18,19,21,22,23,34,35,36]","Will was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder ,",how many pages would he use ?,,[],293,"To find out how many pages Will would need to organize his baseball cards, we can start by calculating how many cards he has in total and then divide that by the number of cards he can fit on each page. 

Will has 8 new cards and 10 old cards, so he has a total of $8 + 10 = 18$ cards.

He can fit 3 cards on each page, so to find the number of pages he needs, we divide the total number of cards by the number of cards per page:

$ \frac{18}{3} = 6 $

Will would need 6 pages to organize his baseball cards.

####6"
How many yards of material from a number0 yard length of cloth remains after number1 pieces each number2 yards long and number3 pieces each number4 long are removed ?,"[24,3,3,5,5,2,25]","[-,-,number0,*,number1,number2,*,number3,number4]","2,25","[6,7,8,13,14,15,16,17,18,20,21,22,23,24,25,25,26,27]",Empty,How many yards of material from a number0 yard length of cloth remains after number1 pieces each number2 yards long and number3 pieces each number4 long are removed ?,,[],295,"To find out how many yards of material remain after removing 3 pieces, each 3 yards long, and 5 pieces, each 5 yards long, from a 24-yard length of cloth, you can follow these steps:

1. Start with the total length of cloth, which is 24 yards.
2. Subtract the length of the first set of pieces, which is 3 pieces, each 3 yards long. So, 3 * 3 = 9 yards are used.
3. Now, subtract the length of the second set of pieces, which is 5 pieces, each 5 yards long. So, 5 * 5 = 25 yards are used.

Now, subtract the total length used from the original length to find the remaining length of material.

24 - 9 - 25 = 15 yards

So, there are 15 yards of material remaining.

####15####"
"Isabel was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?","[3,3,6]","[*,number2,+,number0,number0]",36,"[11,12,13,15,16,17,24,25,26,31,32,33]","Isabel was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?,,[],297,"Isabel sold 3 bead necklaces and 3 gemstone necklaces, and each necklace cost $6. To find out how much money she earned, we can calculate the total amount by multiplying the cost of each necklace by the number of necklaces sold.

First, let's calculate the cost of the bead necklaces:
$6 (cost of each bead necklace) x 3 (number of bead necklaces sold) = $18.

Now, let's calculate the cost of the gemstone necklaces:
$6 (cost of each gemstone necklace) x 3 (number of gemstone necklaces sold) = $18.

To find the total amount Isabel earned, we add the amounts from the bead necklaces and gemstone necklaces:
$18 (bead necklaces) + $18 (gemstone necklaces) = $36.

So, Isabel earned $36 in total.

####36"
"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?","[6,5,12]","[-,+,number0,number2,number1]",13,"[2,3,4,8,9,10,15,16,17,22,23,24]","A florist had number0 roses . If she sold number1 of them and then later picked number2 more ,",how many roses would she have ?,,[],299,"Certainly, I can help you solve this math problem step by step.

1. The florist starts with 6 roses.
2. She sells 5 of them, which means she has 6 - 5 = 1 rose left.
3. Later, she picks 12 more roses.
4. Adding the 1 rose she had left to the 12 roses she picked, she now has a total of 1 + 12 = 13 roses.

So, the florist would have 13 roses.

#### 13"
Adam has number0 to buy an airplane that costs number1 . How much change will Adam get ?,"[5,4,28]","[-,number0,number1]","0,72","[2,3,4,10,11,12,16,17,18]",Adam has number0 to buy an airplane that costs number1 .,How much change will Adam get ?,,[],301,"To find out how much change Adam will get, we need to subtract the cost of the airplane from the amount of money he has. 

Adam has $5, and the airplane costs $4. 

So, to find the change, we subtract the cost from the amount Adam has:

$5 - $4 = $1

So, Adam will get $1 in change.
#### 1"
"Sam had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?","[10,3,36]","[-,+,number0,number2,number1]",43,"[1,2,3,8,9,10,17,18,19,25,26,27]","Sam had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?,,[],304,"Alright, let's solve this step by step.

1. Sam originally had 10 socks.
$ 10 $

2. He threw away 3 old socks.
$ 10 - 3 = 7 $

3. He then bought 36 new socks.
$ 7 + 36 = 43 $

So, after throwing away the old socks and buying the new ones, Sam would have:
####43 socks."
Kelly has number0 Nintendo games . How many does Kelly need to give away so that Kelly will have number1 games left ?,"[121,22]","[-,number0,number1]",99,"[1,2,3,18,19,20,19,20,21]",Kelly has number0 Nintendo games .,How many does Kelly need to give away so that Kelly will have number1 games left ?,,[],305,"To solve this problem, we need to find out how many Nintendo games Kelly needs to give away so that she will have 22 games left.

Let's set up an equation:

Total games Kelly has - Games given away = Games left

Total games Kelly has is 121, Games given away is what we're trying to find, and Games left is 22.

So the equation becomes:

121 - Games given away = 22

Now, let's isolate Games given away by moving 22 to the other side of the equation:

121 - 22 = Games given away

Now, calculate the difference on the left side:

121 - 22 = 99

So, Kelly needs to give away 99 Nintendo games to have 22 games left.

#### 99"
Jason has number0 Pokemon cards . Benny bought number1 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,"[3,2]","[-,number0,number1]",1,"[1,2,3,7,8,9,22,23,24]",Jason has number0 Pokemon cards . Benny bought number1 of Jason 's Pokemon cards .,How many Pokemon cards does Jason have now ?,,[],308,"Jason initially has 3 Pokemon cards. Benny bought 2 of Jason's Pokemon cards, which means that Jason now has 3 - 2 = 1 Pokemon card.

So, Jason now has 1 Pokemon card.

#### 1"
Martin strolled to Lawrence 's house . It is number0 miles from Martin 's house to Lawrence 's house . It took Martin number1 hours to get there . How fast did Martin go ?,"[12,6]","[/,number0,number1]",2,"[8,9,10,22,23,24,31,32,33]",Martin strolled to Lawrence 's house . It is number0 miles from Martin 's house to Lawrence 's house . It took Martin number1 hours to get there .,How fast did Martin go ?,,[],310,"To find out how fast Martin went, we can use the formula for speed, which is:

\[ \text{Speed} = \frac{\text{Distance}}{\text{Time}} \]

In this case, the distance is 12 miles, and the time is 6 hours. So, we can calculate Martin's speed as follows:

\[ \text{Speed} = \frac{12}{6} \]

Now, let's perform the calculation:

\[ \text{Speed} = \frac{12}{6} = 2 \]

So, Martin went at a speed of 2 miles per hour.

#### 2"
"Alyssa loves eating fruits . Alyssa paid number0 for grapes , and number1 for cherries . In total , how much money did Alyssa spend ?","[12.08,9.85]","[+,number0,number1]","21,93","[7,8,9,13,14,15,24,25,26]","Alyssa loves eating fruits . Alyssa paid number0 for grapes , and number1 for cherries . In total ,",how much money did Alyssa spend ?,,[],311,"To find the total amount of money Alyssa spent on grapes and cherries, you simply need to add the cost of grapes to the cost of cherries. 

So, to calculate the total cost:

$12.08 (grapes) + $9.85 (cherries) = $21.93

So, Alyssa spent a total of $21.93.

####21.93"
"Ashley sold number0 boxes of Samoas . How many cases of number1 boxes , plus extra boxes does Ashley need ?","[12,12]","[/,number0,number0]",1,"[1,2,3,10,11,12,17,18,19]",Ashley sold number0 boxes of Samoas .,"How many cases of number1 boxes , plus extra boxes does Ashley need ?",,[],313,"To find out how many cases of 12 boxes, plus extra boxes Ashley needs for 12 boxes of Samoas, you can use division and modulo. Here's the step-by-step reasoning:

1. Ashley sold 12 boxes of Samoas.
2. To find out how many cases of 12 boxes she needs, you can divide the number of boxes sold by 12.
   $ 12 / 12 = 1 $
   This tells us that she needs at least 1 case of 12 boxes.

3. To determine how many extra boxes she needs beyond the full case, you can use the modulo operator (%), which gives the remainder when dividing by 12.
   $ 12 % 12 = 0 $
   Since there is no remainder, this means she doesn't need any extra boxes beyond the 1 full case.

So, Ashley needs 1 case of 12 boxes, and she doesn't need any extra boxes.

####1####"
Mrs. Hilt needs to share number0 equally among number1 total people . How much money will each person get ?,"[3,75,3]","[/,number0,number1]","1,25","[5,6,7,8,9,10,17,18,19]",Mrs. Hilt needs to share number0 equally among number1 total people .,How much money will each person get ?,,[],319,"To find out how much money each person will get when Mrs. Hilt shares 3 equally among 75 people, you need to divide 3 by 75:

$ \frac{3}{75} = \frac{1}{25} $

So, each person will get \( \frac{1}{25} \) of the total money. To express this as a decimal, you can divide 1 by 25:

$ \frac{1}{25} = 0.04 $

Therefore, each person will get 0.04 dollars.

#### 0.04
"
"Jenny sold number0 boxes of Trefoils . How many cases of number1 boxes , plus extra boxes does Jenny need to deliver ?","[24,8]","[/,number0,number1]",3,"[1,2,3,10,11,12,19,20,21]",Jenny sold number0 boxes of Trefoils .,"How many cases of number1 boxes , plus extra boxes does Jenny need to deliver ?",,[],328,"To find out how many cases of 8 boxes Jenny needs, we can divide the total number of boxes (24) by 8. This will give us the number of cases she needs to deliver. We can then determine the number of extra boxes by taking the remainder when 24 is divided by 8.

Step 1: Number of cases of 8 boxes:
$24 \div 8 = 3$

So, Jenny needs 3 cases of 8 boxes.

Step 2: Number of extra boxes:
$24 \mod 8 = 0$

Since the remainder is 0, there are no extra boxes needed.

So, Jenny needs 3 cases of 8 boxes and 0 extra boxes.
####3####"
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?","[24,10,7]","[/,-,number0,number1,number2]",2,"[2,3,4,9,10,11,23,24,25,31,32,33]","A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",how many tables do they need ?,,[],332,"To find out how many tables the company needs for the luncheon, we can start by calculating the total number of people who actually attended the luncheon, and then divide that number by the number of people each table can hold.

1. First, we know that the company initially invited 24 people.
2. However, 10 people didn't show up, so we need to subtract those who didn't attend from the initial number.
3. The number of people who attended the luncheon is 24 - 10.

Let's calculate that:

$24 - 10 = 14$

Now, we need to determine how many tables are needed. Since each table can hold 7 people, we can find the number of tables by dividing the total number of people who attended by the number of people each table can hold:

$\dfrac{14}{7} = 2$

So, the company needs 2 tables for the luncheon.

####2"
Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums . How many pictures were in each album ?,"[41,37,2]","[/,-,number0,number1,number2]",2,"[1,2,3,8,9,10,18,19,20,27,28,29]",Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums .,How many pictures were in each album ?,,[],335,"Nancy uploaded a total of 41 pictures to Facebook. She put 37 pictures into one album and the rest into 2 different albums. Let's find out how many pictures were in each of the two different albums.

To do this, we can set up an equation. Let's represent the number of pictures in one of the two different albums as ""x.""

So, the number of pictures in the first album is 37, and the number of pictures in the two different albums combined is 41. Therefore, we can write the equation:

$37 + x + x = 41$

Now, we can solve for ""x."" First, simplify the equation:

$37 + 2x = 41$

Next, subtract 37 from both sides of the equation to isolate 2x:

$2x = 41 - 37$

$2x = 4$

Now, divide both sides by 2 to find the value of ""x"":

$x = 4 / 2$

$x = 2$

So, there were 2 pictures in each of the two different albums.

####2####"
Mariela was in the hospital and she got number0 get well cards from around the country . When she got home she got number1 more cards from friends and family . How many get well cards did Mariela get ?,"[403,287]","[+,number0,number1]",690,"[7,8,9,22,23,24,38,39,40]",Mariela was in the hospital and she got number0 get well cards from around the country . When she got home she got number1 more cards from friends and family .,How many get well cards did Mariela get ?,,[],338,"To find the total number of get well cards Mariela received, we need to add the number of cards she received in the hospital to the number she received when she got home.

1. Number of cards in the hospital: 403
2. Number of cards at home: 287

To find the total number of cards, we add these two values together:

$"
"The value of a sport utility vehicle this year is number0 dollars , which is number1 of what its value was last year . How much is the value of the vehicle last year ?","[16000,0.8]","[/,number0,number1]",20000,"[9,10,11,14,15,16,31,32,33]","The value of a sport utility vehicle this year is number0 dollars , which is number1 of what its value was last year .",How much is the value of the vehicle last year ?,,[],343,"To find the value of the vehicle last year, we need to set up an equation based on the given information. Let's denote the value of the vehicle last year as \( V \) dollars.

According to the problem, the value of the vehicle this year is \( 16000 \) dollars, which is \( 0.8 \) times the value of the vehicle last year. Mathematically, this can be represented as:

\[ 0.8V = 16000 \]

Now, to find \( V \), we can divide both sides of the equation by \( 0.8 \) to isolate \( V \):

\[ V = \frac{16000}{0.8} \]
\[ V = 20000 \]

#### 20000"
"Find the product of number0 , number1 , number2 and number3 .","[-2,-15,4,-1]","[*,*,*,number0,number1,number2,number3]",-120,"[3,4,5,5,6,7,7,8,9,9,10,11,8,9,10]",Empty,"Find the product of number0 , number1 , number2 and number3 .",,[],345,"Sure, let's solve the problem step by step:

1. Multiply -2 by -15:
   $-2 \times -15 = 30$

2. Multiply 30 by 4:
   $30 \times 4 = 120$

3. Finally, multiply 120 by -1:
   $120 \times -1 = -120$

So, the product of -2, -15, 4, and -1 is -120.####
"
"Luke was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder , how many pages would he use ?","[3,3,9]","[/,+,number0,number2,number0]",4,"[9,10,11,17,18,19,21,22,23,34,35,36]","Luke was organizing his baseball cards in a binder with number0 on each page . If he had number1 new cards and number2 old cards to put in the binder ,",how many pages would he use ?,,[],346,"Luke is organizing his baseball cards with 3 cards on each page. He has 3 new cards and 9 old cards to put in the binder. 

To find out how many pages he would use, we can calculate the total number of cards and then divide it by the number of cards on each page.

Total number of cards = 3 new cards + 9 old cards
Total number of cards = 3 + 9

Now, we can calculate the total number of pages Luke would use by dividing the total number of cards by 3 (since there are 3 cards on each page).

Total number of pages = Total number of cards / 3

Total number of pages = (3 + 9) / 3

Now, let's perform the calculation:

Total number of pages = 12 / 3
Total number of pages = 4

So, Luke would use 4 pages to organize his baseball cards.

####4"
"Dave was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?","[9,17,55]","[/,+,number1,number2,number0]",8,"[15,16,17,27,28,29,33,34,35,42,43,44]","Dave was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?,,[],353,"To find out how many trips Dave will make to pick up all the trays, we can set up a division problem. We'll divide the total number of trays he needs to pick up by the number of trays he can carry in one trip (9 trays). This will give us the number of trips he needs to make.

Number of trays Dave needs to pick up = 17 trays (from one table) + 55 trays (from another table)

Number of trays Dave can carry in one trip = 9 trays

Now, let's calculate the total number of trips Dave needs to make:

$Total \, trips = \dfrac{17 \, trays + 55 \, trays}{9 \, trays}$
$Total \, trips = \dfrac{72 \, trays}{9 \, trays}$

To simplify this, we can divide the total number of trays by the number of trays Dave can carry in one trip:

$Total \, trips = 8$

So, Dave will make 8 trips to pick up all the trays.

####8"
There are number0 butterflies . Each butterfly has number1 black dots and number2 yellow dots . How many black dots are there in all ?,"[397,12,17]","[*,number0,number1]",4764,"[1,2,3,7,8,9,11,12,13,21,22,23]",There are number0 butterflies . Each butterfly has number1 black dots and number2 yellow dots .,How many black dots are there in all ?,,[],354,"To find out how many black dots there are in total, we can use the information provided. Each of the 397 butterflies has 12 black dots. Therefore, we can calculate the total number of black dots by multiplying the number of butterflies (397) by the number of black dots per butterfly (12).

$397 \times 12 = 4764$

####"
For Halloween Faye scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces . How many pieces of candy does Faye have now ?,"[47,25,40]","[-,+,number0,number2,number1]",62,"[3,4,5,10,11,12,21,22,23,32,33,34]",For Halloween Faye scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces .,How many pieces of candy does Faye have now ?,,[],356,"Let's break down the problem step by step.

1. Faye scored 47 pieces of candy.
2. She ate 25 pieces the first night, so we subtract 25 from the total.
3. Her sister gave her 40 more pieces of candy, so we add 40 to the remaining amount.

Now, let's calculate it step by step:

1. Initial candy: $47
2. After eating 25 pieces: $47 - 25 = $22
3. After her sister gave her 40 more pieces: $22 + 40 = $62

So, Faye has 62 pieces of candy now.

####62"
