question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1 how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?,"[250,265,900]","[-,number2,+,number0,number1]",385,"[4,45,46,47,48,17,18,19,20,21,49,23,50,28,29,30]",after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1,how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?,,[],2203," Here is my attempt at answering the math question step by step using calculations only:

$lizzie's$ $group$ $covered$ $250$ $square$ $feet$ $of$ $land$

$the$ $other$ $group$ $covered$ $265$ $square$ $feet$ $of$ $land$  

$total$ $land$ $covered$ $by$ $both$ $groups$ $=$ $250$ $+$ $265$ $=$ $515$ $square$ $feet$  

$total$ $land$ $available$ $is$ $900$ $square$ $feet$

$land$ $remaining$ $to$ $be$ cleaned$ $=$ $900$ $-$ $515$ $=$ $385$ $square$ $feet$

####
$385$  
####"
the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3 how many more houses remain ?,"[2,453,238,190]","[-,number1,+,number2,number3]",25,"[0,1,2,32,4,5,33,9,10,11,14,15,17,20,21,22,27,28,29,31]",the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3,how many more houses remain ?,,[],2204,"To find out how many more houses remain, we need to subtract the number of houses covered by Lizzie's group from the total number of houses in the city.

Total number of houses in the city = 453
Number of houses covered by Lizzie's group = 238

To find out how many more houses remain, we subtract the number of houses covered by Lizzie's group from the total number of houses in the city:

453 - 238 = ####

Therefore, 215 more houses remain."
finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2 how many factories remain unchecked ?,"[169,69,52]","[-,number0,+,number1,number2]",48,"[33,34,35,4,5,6,7,14,16,22,23,24,29,30,31]",finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2,how many factories remain unchecked ?,,[],2205,"To find the number of factories that remain unchecked, we need to subtract the number of factories visited by the first group and the second group from the total number of factories.

Total number of factories = 169
Number of factories visited by the first group = 69
Number of factories visited by the second group = 52

To find the number of factories that remain unchecked, we can subtract the number of factories visited by both groups from the total number of factories.

Number of factories remaining unchecked = Total number of factories - Number of factories visited by the first group - Number of factories visited by the second group

Number of factories remaining unchecked = 169 - 69 - 52

Calculating the subtraction:

Number of factories remaining unchecked = 48

Therefore, there are 48 factories that remain unchecked. 
####"
kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1 how many did his grandmother prepare if they have a total of number2 cupcakes ?,"[25,30,100]","[-,number2,+,number0,number1]",45,"[3,39,40,41,42,46,47,48,59,60,61]",kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1,how many did his grandmother prepare if they have a total of number2 cupcakes ?,,[],2206,"To find out how many cupcakes Kevin's grandmother prepared, we can subtract the number of cupcakes prepared by Kevin's sister and mother from the total number of cupcakes.

Let's denote the number of cupcakes prepared by Kevin's grandmother as ""x"".

The number of cupcakes prepared by Kevin's sister is 25.

The number of cupcakes prepared by Kevin's mother is 30.

The total number of cupcakes is 100.

So, the equation to represent the situation is:

x + 25 + 30 = 100

Combining like terms:

x + 55 = 100

Subtracting 55 from both sides of the equation:

x = 100 - 55

Simplifying the right side:

x = 45

Therefore, Kevin's grandmother prepared 45 cupcakes.

####"
after the party kevin estimated that the total money they spent on food drinks and utensils sums up to number0 . if they spent number1 on food and number2 on utensils and other stuff how much did they spend on drinks ?,"[560,268,118]","[-,number0,+,number1,number2]",174,"[32,2,41,42,43,19,20,25,26,27,30,31]",after the party kevin estimated that the total money they spent on food drinks and utensils sums up to number0 . if they spent number1 on food and number2 on utensils and other stuff,how much did they spend on drinks ?,,[],2208,"To find out how much they spent on drinks, we can subtract the amounts spent on food and utensils from the total amount spent.

Amount spent on drinks = Total amount spent - Amount spent on food - Amount spent on utensils

Amount spent on drinks = 560 - 268 - 118

Amount spent on drinks = 174

So, they spent $174 on drinks.

####"
katie spent a total number0 on her whole stay in the island . if she spent number1 on food and number2 on hotel rooms how much did she spend on buying other stuff ?,"[350,125,135]","[-,number0,+,number1,number2]",90,"[1,2,3,4,5,6,33,34,35,17,18,19,22,23,24]",katie spent a total number0 on her whole stay in the island . if she spent number1 on food and number2 on hotel rooms,how much did she spend on buying other stuff ?,,[],2210,"Of course! Let's solve the math problem step by step.

Katie spent a total of $350 on her whole stay in the island. 
Out of this, she spent $125 on food and $135 on hotel rooms.

To find out how much she spent on buying other stuff, we can subtract the amounts she spent on food and hotel rooms from the total amount she spent.

So, to find the amount spent on buying other stuff, we need to subtract $125 and $135 from $350.

$350 - $125 - $135 = ####

Simplifying the calculation, we have:

$350 - $260 = ####

Now, let's perform the subtraction:

$90 = ####

Therefore, Katie spent $90 on buying other stuff during her stay on the island.

I hope this helps! If you have any more questions, feel free to ask."
next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species how many reptile species did she see ?,"[532,253,143]","[-,number0,+,number1,number2]",136,"[2,35,36,37,11,12,13,14,16,23,24,25,26,27,28,29,30]",next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species,how many reptile species did she see ?,,[],2211,"To find the number of reptile species she saw, we need to subtract the number of insect species and bird species from the total number of species she saw.

Given:
Total number of species = 532
Number of insect species = 253
Number of bird species = 143

To find the number of reptile species, we can use the following equation:
Number of reptile species = Total number of species - Number of insect species - Number of bird species

Substituting the given values into the equation:
Number of reptile species = 532 - 253 - 143

Performing the calculations:
Number of reptile species = 136

Therefore, she saw 136 reptile species.

####"
thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated number0 in total to number1 different nursing homes . if she gave number2 to the first home and number3 to the second how much did she give to the third home ?,"[700,3,245,225]","[-,number0,+,number2,number3]",230,"[32,34,2,58,39,40,41,7,59,46,47,48,14,57,26,27,28,30,31]",thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated number0 in total to number1 different nursing homes . if she gave number2 to the first home and number3 to the second,how much did she give to the third home ?,,[],2213,"To find out how much Dr. Mary gave to the third home, we can subtract the amounts she gave to the first and second homes from the total amount she donated.

Total amount donated = $700
Amount given to the first home = $245
Amount given to the second home = $225

To find the amount given to the third home:
Amount given to the third home = Total amount donated - Amount given to the first home - Amount given to the second home

Amount given to the third home = $700 - $245 - $225

Now let's calculate the answer:

Amount given to the third home = $700 - $245 - $225
Amount given to the third home = $230

Therefore, Dr. Mary gave $230 to the third home.
##############################################230"
she then went to number0 orphanages and donated a total of number1 . if she gave number2 to the first orphanage and number3 to the third how much did she donate to the second orphanage ?,"[3,650,175,250]","[-,number1,+,number2,number3]",225,"[2,3,4,5,35,36,37,11,12,17,18,19,24,25,26]",she then went to number0 orphanages and donated a total of number1 . if she gave number2 to the first orphanage and number3 to the third,how much did she donate to the second orphanage ?,,[],2214,"Of course! Let's solve the problem step by step.

The total amount she donated to all three orphanages is $650. 
She gave $175 to the first orphanage and $250 to the third orphanage. 

To find out how much she donated to the second orphanage, we can subtract the amount given to the first and third orphanages from the total amount donated.

So, the calculation would be:
$650 - $175 - $250 = ####

Let me calculate that for you."
lastly she donated number0 to number1 different soup kitchens in her town . if she gave number2 to the first soup kitchen and number3 to the second how much did she donate to the third ?,"[800,3,300,238]","[-,number0,+,number2,number3]",262,"[2,3,4,5,6,7,35,9,36,37,17,18,19,25,26,27]",lastly she donated number0 to number1 different soup kitchens in her town . if she gave number2 to the first soup kitchen and number3 to the second,how much did she donate to the third ?,,[],2216,"Of course, I'd be happy to help you with your math question! Let's break it down step by step.

We know that she donated a total of 800 to 3 different soup kitchens. 

First, let's subtract the amounts she donated to the first and second soup kitchens from the total amount she donated: 

$800 - $300 - $238 = ##########

After subtracting the amounts she donated to the first and second soup kitchens from the total amount, we are left with the amount she donated to the third soup kitchen.

The answer is ##########."
andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them how many sandwiches did he make in total ?,"[4,3]","[*,number0,number1]",12,"[32,2,3,37,38,39,41,9,18,50,51,52,22,30,31]",andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them,how many sandwiches did he make in total ?,,[],2217,"Hello there! I'd be happy to help you with your math question. Let's work through it step by step.

Andrew has 4 friends coming over, and he made 3 sandwiches for each of them. To find out how many sandwiches he made in total, we can multiply the number of friends by the number of sandwiches per friend.

We can express this as a simple mathematical equation: $ 4 \times 3 = 12 $. So, Andrew made a total of 12 sandwiches for his friends.

#### The answer is 12."
he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice how many oranges did he use ?,"[2,6]","[*,number0,number1]",12,"[2,6,11,12,13,14,17,20,21,22,28,29,30]",he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice,how many oranges did he use ?,,[],2218,"To find out how many oranges he used, we can multiply the number of oranges per glass of juice by the number of glasses of juice he made.

Number of oranges per glass of juice: 2
Number of glasses of juice made: 6

To find the total number of oranges used, we can multiply these two numbers:

$2 \times 6 = 12$

Therefore, he used 12 oranges to make 6 glasses of juice.

####"
they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs how many chairs do they have for the guests ?,"[8,7]","[*,number0,number1]",56,"[2,10,12,13,14,18,20,21,22,29,30,31]",they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs,how many chairs do they have for the guests ?,,[],2222,"Of course, I'd be happy to help you with that math question! Let's break it down step by step.

Given that they have 8 sets of tables, and each set has 7 chairs, we can calculate the total number of chairs by multiplying the number of sets with the number of chairs per set.

So, if we multiply 8 (the number of sets) by 7 (the number of chairs per set), we get the total number of chairs.

$ 8 \times 7 = 56 $

Therefore, they have a total of 56 chairs for the guests.

#### The answer is 56."
at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items how many souvenirs did mona give away ?,"[6,2]","[*,number0,number1]",12,"[4,12,13,14,15,18,21,22,23,24,29,30,31]",at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items,how many souvenirs did mona give away ?,,[],2223,"Of course, I'd be happy to help you with that math problem! Let's break it down step by step.

Mona gave away some souvenirs to her 6 closest friends. We know that each friend received 2 souvenir items. To find out how many souvenirs Mona gave away in total, we can multiply the number of friends by the number of souvenir items each friend received.

So, we have 6 friends, and each friend received 2 souvenir items. We can express this as:

$ 6 \times 2 $

Now, let's calculate:

$ 6 \times 2 = 12 $

So, Mona gave away a total of 12 souvenir items to her 6 closest friends.

####"
john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set how long is the second set of wood ?,"[2,4,5]","[*,number1,number2]",20,"[37,38,39,73,74,75,15,52,53,54,60,61,62]",john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set,how long is the second set of wood ?,,[],2224,"The first set of wood is 4 feet long.

To find the length of the second set of wood, we need to multiply the length of the first set by 5.

$ 4 \times 5 = 20 $

Therefore, the second set of wood is 20 feet long.

#### The second set of wood is 20 feet long."
another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have how long should be the additional rope ?,"[6,5]","[*,number0,number1]",30,"[3,35,36,37,11,12,13,21,22,23]",another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have,how long should be the additional rope ?,,[],2225,"To find the length of the additional rope, we need to multiply the length of the rope he already has by 5. 

The length of the rope he already has is 6 feet. 

Therefore, the additional rope should be 6 * 5 = 30 feet long. 

#### The additional rope should be 30 feet long."
for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured how many nails does john need for the house wall ?,"[9,8]","[*,number0,number1]",72,"[35,36,5,37,8,9,10,11,16,20,21,22]",for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured,how many nails does john need for the house wall ?,,[],2226,"To find the total number of nails John needs for the house wall, we need to multiply the number of planks of wood by the number of nails required for each plank.

Given that John is using 9 large planks of wood and each plank needs 8 pieces of nails, we can calculate the total number of nails needed.

Number of nails needed for each plank = 8
Number of planks of wood = 9

Total number of nails needed = Number of nails needed for each plank × Number of planks of wood

Total number of nails needed = 8 × 9
Total number of nails needed = 72.

Therefore, John needs 72 nails for the house wall.
####
72"
if each bus have number0 rows of seats and each row of seats can accommodate number1 children how many children can each bus accommodate ?,"[9,4]","[*,number0,number1]",36,"[1,3,4,5,9,14,15,16,18,21,22,23]",if each bus have number0 rows of seats and each row of seats can accommodate number1 children,how many children can each bus accommodate ?,,[],2230," 
""""""
$ 9 * 4 = 36$
####36
""""""

Each bus has 9 rows of seats.
$9$  

Each row of seats can accommodate 4 children.
$4$

To calculate the total number of children each bus can accommodate, we multiply the number of rows by the number of seats per row:

$ 9 * 4 = 36$

So each bus can accommodate 36 children.
####36"
at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections how many types of eagles did the children see in total ?,"[6,3]","[*,number0,number1]",18,"[2,3,38,39,40,7,14,49,50,51,22,23,24,29]",at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections,how many types of eagles did the children see in total ?,,[],2232," Here is a step-by-step solution to the math problem:

```
at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw 6 types of eagles living on each section of the mountain . if the mountain has 3 sections how many types of eagles did the children see in total ? 
```

There are 3 sections of the mountain. On each section, the children saw 6 types of eagles.  
$Number$ $of$ $eagles$ $per$ $section$ $=$ $6$  
$Number$ $of$ $sections$ $=$ $3$

To calculate the total number of eagles seen, we multiply the number of eagles per section by the number of sections:

$Total$ $eagles$ $=$ $Number$ $of$ $eagles$ $per$ $section$ $×$ $Number$ $of$ $sections$
$=$ $6 × 3$
$= 18$

####18

So the total number of eagles the children saw is 18.

Hope this step-by-step solution helps! Let me know if you have any other questions."
she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block how many candies will she receive from each block ?,"[7,5]","[*,number0,number1]",35,"[3,41,42,43,12,14,19,20,21,25,29,30,31]",she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block,how many candies will she receive from each block ?,,[],2235," ###

She will receive 7 pieces of candies from every house. 
There are 5 houses in a block.

So, for each block she will receive:
$7 \times 5 = 35$ pieces of candies

Therefore, the number of candies she will receive from each block is:

$35$
###"
she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks how many children will go trick or treating in annie 's village ?,"[6,9]","[*,number0,number1]",54,"[2,36,5,37,38,8,12,15,18,19,20,22,24,25,26]",she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?,,[],2236," ###$6\times 9 = 54$ ###

There are 6 children on each of the 9 blocks.
To calculate the total number of children going trick or treating in the village, we multiple the number of children on each block, 6, by the number of blocks, 9.

$6\times 9 = 54$

The answer is $54$ children will go trick or treating in the village."
being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots how many flying robots does michael have ?,"[4,3]","[*,number0,number1]",12,"[2,4,5,6,7,8,12,15,16,17,18,23,24,25]",being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?,,[],2239,"If Tom has 3 flying robots, and Michael has 4 times more flying robots than Tom, then Michael has 3 x 4 = 12 flying robots. 

Therefore, Michael has 12 flying robots. 

####"
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of number2 how much should tom pay ?,"[1,3,3]","[*,number1,number2]",9,"[32,10,11,12,46,47,48,50,51,52,30,31]",tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of number2,how much should tom pay ?,,[],2240," Here is the step by step solution to the math problem:

""""""
michael said that tom will need to pay 3 times the original price.

The rare robot has an original price of 3.

$3 * 3 = 9$  

Therefore, tom should pay $3$ times the original price of $3$, which is $9$. 

####9####
"""""""
michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ) what is the total value of money does she have in nickels ?,"[1,20,5]","[*,number1,number2]",100,"[5,72,73,74,51,52,53,22,23,59,60,61]",michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ),what is the total value of money does she have in nickels ?,,[],2242,"If Michelle counted a total of 20 nickels, and each nickel is equivalent to 5 cents, then the total value of money she has in nickels can be calculated by multiplying the number of nickels by the value of each nickel.

Number of nickels: 20
Value of each nickel: 5 cents

To find the total value of money in nickels:
20 nickels * 5 cents/nickel = 100 cents

So, Michelle has a total of 100 cents in nickels.

####100"
daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep how many sheep do they have in total ?,"[1,3,20]","[*,number1,number2]",60,"[64,34,35,2,70,71,72,10,14,18,54,55,56,60,62,63]",daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep,how many sheep do they have in total ?,,[],2243," ```
$ 3 * 20 = 60 $
#### 60
```

Breaking down the problem:

There are 3 herds of sheep.
Each herd has 20 sheep. 
We need to find the total number of sheep.

To calculate the total number of sheep, we multiply the number of herds by the number of sheep in each herd:

$ 3 * 20 = 60 $

Therefore, the total number of sheep is:

#### 60"
both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop . how many chickens do they have in total ?,"[9,60,1]","[*,number0,number1]",540,"[32,33,34,35,36,37,1,5,44,13,45,46,23,24,25,26]",both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .,how many chickens do they have in total ?,,[],2245," $ ben$ counted $ 9$  chicken coops.
$ daniel$ said that there are $60$ chickens in $1$ coop.
So,$1$ coop has $60$ chickens.
Since there are  $9$ coops, multiplying $9$ coops by $60$ chickens in $1$ coop gives:
$9$ × $60 = $ $540$  chickens in total.   

 ####540"
ben was also given number0 trays of eggs to examine . if each tray has number1 eggs how many eggs did ben examine in total ?,"[7,10]","[*,number0,number1]",70,"[3,4,5,7,11,12,14,15,16,22,23,24]",ben was also given number0 trays of eggs to examine . if each tray has number1 eggs,how many eggs did ben examine in total ?,,[],2246," #### 70

ben was given 7 trays of eggs to examine. Each tray has 10 eggs. 

To calculate the total number of eggs ben examined, we multiply the number of trays by the number of eggs in each tray:

$7 \times 10 = 70$

Therefore, ben examined $70$ eggs in total."
